Price,Condition,Brand,RAM,Memory,SIM Support,Network
35000,Used,Samsung,6,128,Dual SIM,5G
102000,Used,Apple,9,128,Single SIM,5G
14000,Used,Samsung,4,64,Dual SIM,4G
18000,Used,Samsung,4,64,Dual SIM,4G
126000,Used,Apple,6,256,Dual VoLTE,5G
175000,Used,Apple,6,256,Dual SIM,5G
19500,Used,Apple,2,64,Single SIM,4G
45000,Used,Google,8,128,Dual SIM,5G
71500,Used,Apple,4,128,Dual SIM,5G
25000,Used,Other brand,8,256,Dual SIM,5G
68000,Used,Apple,4,256,Single SIM,4G
55000,Used,Apple,4,128,Single SIM,4G
175000,Used,Apple,6,256,Dual SIM,5G
158000,Used,Apple,6,256,Dual SIM,5G
10000,Used,Apple,6,128,Single SIM,4G
33000,Used,Apple,4,160,Single SIM,4G
90000,Used,Apple,6,256,Single SIM,5G
25500,Used,Apple,6,64,Single SIM,4G
71000,Used,Apple,4,128,Dual SIM,5G
70000,Used,Apple,9,256,Single SIM,5G
17000,Used,Apple,3,32,Single SIM,4G
17000,Used,Xiaomi,8,128,Dual SIM,4G
50000,Used,Samsung,8,256,Single SIM,5G
33500,Used,Other brand,6,128,Dual SIM,5G
65000,Used,Other brand,8,256,Dual SIM,5G
18000,Used,Xiaomi,4,128,Dual SIM,4G
22500,Used,Samsung,4,64,Dual SIM,4G
302000,Used,Apple,16,256,Dual SIM,5G
118000,Used,Apple,6,128,Dual SIM,5G
139990,Used,Apple,6,256,Single SIM,5G
30000,Used,Apple,3,128,Dual SIM,4G
84500,Used,Apple,6,128,Single SIM,5G
110000,Used,Apple,4,128,Single SIM,4G
65000,Used,Google,8,128,Dual SIM,5G
91000,Used,Apple,4,128,Single SIM,5G
187500,Used,Apple,8,128,Dual SIM,5G
19000,Used,Samsung,4,64,Dual VoLTE,4G
195000,Used,Apple,8,128,Dual SIM,5G
41500,Used,Xiaomi,8,128,Dual SIM,5G
182000,Used,Samsung,12,256,Dual VoLTE,5G
35000,Used,Apple,3,64,Dual SIM,4G
11990,Used,Vivo,4,128,Dual SIM,4G
60000,Used,Apple,4,256,Dual SIM,4G
84000,Used,Apple,4,256,Dual SIM,5G
35000,Used,Apple,4,128,Dual SIM,5G
60000,Used,Apple,16,256,Single SIM,4G
25000,Used,Google,8,128,Dual SIM,5G
97000,Used,Apple,6,256,Single SIM,5G
30000,Used,Vivo,8,128,Dual SIM,5G
75000,Used,Samsung,8,256,Dual SIM,5G
21000,Used,Other brand,8,128,Dual SIM,5G
45000,Used,Apple,4,256,Single SIM,4G
14000,Used,Other brand,3,64,Dual SIM,4G
171999,Brand New,Apple,6,128,Single SIM,5G
178000,Used,Apple,6,256,Dual SIM,5G
66000,Used,Oppo,8,256,Dual VoLTE,5G
33500,Used,Apple,3,128,Dual SIM,4G
84999,Used,Apple,4,128,Dual SIM,5G
67500,Used,Apple,4,128,Single SIM,4G
79500,Used,Apple,4,128,Single SIM,4G
38000,Used,Apple,8,256,Single SIM,4G
90000,Used,Huawei,4,128,Dual SIM,4G
120000,Used,Google,12,256,Single SIM,5G
18000,Used,Apple,4,256,Single SIM,4G
69000,Used,Apple,4,256,Single SIM,4G
70000,Used,Apple,12,256,Single SIM,4G
20000,Used,Samsung,3,32,Dual SIM,4G
65000,Used,Apple,5,128,Dual SIM,5G
205000,Used,Apple,8,256,Dual SIM,5G
148000,Used,Apple,6,256,Dual SIM,5G
185000,Used,Apple,6,256,Dual SIM,5G
225000,Used,Apple,8,256,Single SIM,5G
22000,Used,Samsung,8,128,Dual SIM,5G
24000,Used,Honor,6,128,Dual SIM,4G
13500,Used,Apple,2,128,Single SIM,4G
12500,Used,Vivo,3,32,Dual SIM,4G
22990,Used,Apple,3,128,Single SIM,4G
93000,Used,Apple,6,128,Single SIM,5G
40000,Used,Apple,3,64,Single SIM,4G
45000,Used,Samsung,6,256,Single SIM,5G
46500,Used,Apple,4,256,Single SIM,4G
21000,Used,Xiaomi,4,32,Dual SIM,4G
4000,Used,Vivo,6,128,Dual SIM,4G
57000,Used,Google,8,128,Dual SIM,5G
27000,Used,Other brand,8,128,Dual SIM,5G
18000,Used,Other brand,8,128,Dual SIM,5G
43000,Used,Apple,4,128,Dual SIM,4G
8000,Used,Samsung,3,32,Dual SIM,4G
76500,Used,Xiaomi,12,256,Dual VoLTE,5G
83500,Used,Apple,4,256,Single SIM,4G
69500,Used,Google,8,128,Dual VoLTE,5G
81500,Used,Apple,6,128,Dual SIM,5G
68500,Used,Apple,4,128,Dual SIM,5G
183000,Used,Apple,6,256,Dual SIM,5G
18000,Used,Other brand,4,32,Single SIM,4G
168000,Used,Apple,6,192,Dual SIM,5G
83500,Used,Google,12,128,Dual SIM,5G
90000,Used,Apple,6,128,Single SIM,5G
145000,Used,Apple,6,128,Single SIM,5G
40000,Used,Xiaomi,16,256,Dual SIM,VoLTE
23500,Used,Xiaomi,6,64,Dual SIM,4G
17000,Used,Samsung,3,32,Dual SIM,4G
4500,Used,Samsung,3,32,Dual SIM,4G
49999,Used,Apple,4,256,Dual SIM,5G
52500,Used,Honor,16,256,Dual SIM,5G
70500,Used,Apple,4,128,Dual SIM,5G
21000,Used,Vivo,4,128,Dual VoLTE,5G
345999,Used,Apple,12,256,Dual SIM,5G
10000,Used,Apple,4,128,Single SIM,5G
63000,Used,Apple,4,128,Single SIM,4G
110000,Used,Other brand,12,256,Dual SIM,5G
23000,Used,Apple,4,256,Single SIM,5G
102000,Used,Apple,8,256,Dual SIM,5G
26500,Used,Apple,3,64,Single SIM,4G
42000,Brand New,Other brand,8,256,Dual SIM,4G
100000,Used,Apple,6,128,Dual SIM,5G
25000,Used,Apple,3,128,Single SIM,4G
45000,Used,Other brand,8,128,Dual SIM,5G
34500,Used,Samsung,6,128,Dual SIM,4G
100000,Used,Apple,6,128,Single SIM,5G
45000,Used,Apple,8,256,Dual SIM,5G
35500,Used,Apple,3,64,Dual SIM,4G
18000,Used,Huawei,4,64,Dual VoLTE,4G
3500,Used,Other brand,8,256,Dual SIM,4G
45500,Used,Apple,4,256,Single SIM,4G
199000,Brand New,Samsung,12,256,Dual SIM,5G
65000,Brand New,Other brand,8,256,Dual VoLTE,5G
30000,Used,Apple,2,128,Single SIM,4G
68000,Used,Other brand,8,192,Dual SIM,5G
8500,Used,Samsung,2,32,Dual SIM,4G
30000,Used,Apple,3,64,Single SIM,4G
30000,Used,Samsung,6,128,Dual SIM,5G
75000,Used,Apple,4,256,Single SIM,4G
10000,Used,Vivo,6,128,Dual SIM,4G
135000,Used,Apple,6,256,Single SIM,5G
43500,Used,Samsung,6,128,Dual VoLTE,5G
25000,Used,Xiaomi,6,128,Dual SIM,4G
35000,Used,Apple,12,256,Single SIM,4G
87000,Used,Apple,4,256,Single SIM,4G
44990,Used,Google,8,128,Dual SIM,5G
20500,Used,Apple,4,64,Single SIM,4G
73000,Used,Apple,4,256,Single SIM,4G
226990,Brand New,Apple,8,128,Dual SIM,5G
70000,Brand New,Google,8,128,Dual SIM,5G
24000,Used,Apple,3,128,Single SIM,4G
185000,Used,Apple,6,128,Dual SIM,5G
168000,Used,Apple,6,256,Dual SIM,5G
70000,Used,Apple,4,256,Single SIM,4G
85000,Used,Apple,4,128,Dual SIM,5G
12000,Used,Huawei,8,128,Dual SIM,VoLTE
84500,Used,Apple,9,256,Single SIM,5G
177000,Used,Apple,8,128,Dual SIM,5G
13500,Used,Samsung,2,32,Dual SIM,4G
56000,Used,Samsung,8,256,Single SIM,5G
59000,Used,Other brand,8,256,Dual SIM,4G
32990,Used,Apple,3,128,Dual SIM,4G
34000,Used,Other brand,8,128,Dual SIM,5G
145000,Used,Other brand,16,128,Dual VoLTE,5G
9900,Used,Other brand,2,32,Dual SIM,4G
19900,Used,Apple,3,128,Single SIM,4G
279500,Used,Apple,16,256,Single SIM,5G
56500,Used,Apple,4,256,Dual SIM,4G
135500,Brand New,Honor,12,256,Dual SIM,5G
55000,Used,Apple,4,256,Single SIM,5G
19000,Used,Samsung,6,128,Dual VoLTE,4G
1700,Used,Other brand,2,128,Dual SIM,5G
320000,Used,Apple,8,256,Dual SIM,4G
52000,Used,Apple,4,128,Dual SIM,5G
15000,Used,Oppo,4,64,Dual SIM,4G
65000,Used,Honor,16,256,Dual SIM,4G
7000,Used,Vivo,6,128,Dual SIM,4G
40999,Used,Samsung,4,64,Dual SIM,5G
24000,Used,Apple,3,128,Single SIM,4G
59500,Used,Xiaomi,8,256,Dual SIM,5G
255000,Used,Apple,8,256,Dual SIM,5G
18000,Used,Other brand,6,128,Dual SIM,5G
44500,Brand New,Samsung,8,128,Dual SIM,4G
133700,Used,Apple,6,128,Single SIM,VoLTE
82500,Used,Apple,4,256,Dual VoLTE,VoLTE
42000,Used,Apple,4,64,Single SIM,4G
5300,Used,Samsung,2,128,Dual SIM,4G
49000,Used,Samsung,12,256,Dual SIM,5G
