ID,Price,Condition,Brand,Model,Edition,Operating System,Memory,Network,SIM Support,RAM,No. of Camera,Screen Size,Battery,Processor,Item type,Features,Description
1,15000,Used,Apple,iPhone 6S,Apple,iOS,64 GB,4G,Single SIM,,,,,,,"Fast Charging, Flash Charging, Expandable Memory, Bluetooth, Wifi, GPS, Fingerprint Sensor, Infrared port",hodatma thiyenawa | new bettry | original display | no errors | ex ok
2,356500,Used,Apple,iPhone 16 Pro Max,1TB,iOS,,5G,,12 GB,Triple,Above 6 inches,6000 mAh,,,"USB Type-C Port, Fast Charging, Bluetooth, Wifi, GPS","🚨 Brand New iPhone 16 Pro Max – Desert Titanium 🌵✨ – 1TB 🔥 (Import Phone) ✈️ | 🔹 Model: iPhone 16 Pro Max | 🔹 Storage: 1TB | 🔹 Color: Desert Titanium 🌵✨ | 🔹 Condition: Brand New ✅ | 🔹 Battery Health: 100% 🔋 | 🔹 Battery Cycle Count: 120 🔄 | 🔹 AppleCare: Active (me month eke iwara wenawa) | 🔹 Box & Accessories: Full Set Box 🎁 | 🔹 Origin: Japan 🇯🇵 | 🔹 Exchange: ❌ No Exchange | ⸻ | 💎 Highlights: | •	Import phone, never used, perfect condition ✨ | •	All functions working perfectly ✔️ | •	Face ID, Camera, Display – 100% flawless 📸🖥️ | 💰 Price: LKR 355,000 💸 | 📞 Contact:"
3,56000,Used,Apple,iPhone 11,,iOS,128 GB,5G,Dual SIM,4 GB,Dual,5.1 to 6 inches,4000 mAh,,,,battery health 88%🔋
4,313999,Used,Apple,iPhone 17 Pro,256 GB,,,,,,,,,,,"USB Type-C Port, Fast Charging, Flash Charging, Expandable Memory, Wifi, GPS, Infrared port",I phone 17 pro | 256 | E-sim | No errors | No replacement | Bh 100 ( original ) | Full set same imi box | Warranty Avilable | More any details call me 🤙
5,16000,Used,Apple,iPhone 7 Plus,Apple,iOS,128 GB,4G,Single SIM,4 GB,Dual,4 to 5 inches,5000 mAh,,,"USB Type-B Port, Bluetooth, Wifi, GPS, Fingerprint Sensor",Phone only | 128Gb | Rose Gold | Glass creak | Batry health 63% | Finger print 100%
6,125000,Used,Apple,iPhone 13 Pro Max,128GB Blue,iOS,128 GB,5G,Dual SIM,8 GB,Triple,,,,,"Fast Charging, Bluetooth, Wifi, GPS",Iphone 13 Pro Max 128gb | 100% Cheese Conditions | Superb Battery Life | 83% Battery Health | Original Display And Battery | Face ID 100% Working | 100% Genuine Unit | No Hidden Errors | Sale Only | Price:- 125000/- | Location- Kalutara | Thankyou
7,50000,Used,Apple,iPhone 11,iPhone 11,iOS,64 GB,,,,,,,,,,iPhone 11 | 64GB Capacity | 70% Battery Health | No Errors | All Original Parts | No Replacement | No Scratches | Price negotiable | Only display changed
8,18000,Used,Apple,iPhone 8,Apple,iOS,64 GB,4G,Single SIM,2 GB,Triple,4 to 5 inches,,,,"Bluetooth, Wifi, GPS, Fingerprint Sensor",Original Display... | All sensors Working perfect | Fingerprint  work | Phone & Charger | Last price
9,360000,Used,Apple,iPhone 17 Pro,256GB,iOS,256 GB,5G,Dual VoLTE,,Triple,5.1 to 6 inches,5000 mAh,,,"USB Type-C Port, Fast Charging, Flash Charging, Bluetooth, Wifi, GPS",17 pro | 256gb | Silver | Full set box | Brand new
10,60000,Used,Apple,iPhone 11 Pro,,iOS,256 GB,4G,Dual SIM,,,,,,,"Flash Charging, Bluetooth, Wifi, GPS",IPHONE 11 PRO | HOUSING GOOD CONDITION | Back tap💯 | Face id💯 | True tone💯 | Orginal display | Storage : 256
11,65500,Used,Apple,iPhone 12,,iOS,,,,,,,,,,"Fast Charging, Bluetooth, Wifi, GPS",⭕️ I phone 12 64GB | Battry Health 100% ✅ | Face id 100% work ✅ | True Tone 100% ✅💯 | No any errors | Price - (can be negotiate👍🏻) | Girl used phone 😁 | Best Condition 📌 | Location - Kaduwela | Call for more details
